epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,626.155,2.76749,2.13253,1.89744,0.52352,0.21289,0.24203,0.10464,2.06376,1.55741,1.51707,0.0670321,0.000333009,0.000333009
2,1248.07,2.01628,1.42811,1.45185,0.65067,0.34835,0.35866,0.16796,1.76932,1.20334,1.34463,0.0340299,0.000664143,0.000664143
3,1872.77,1.83528,1.24543,1.35665,0.72454,0.35398,0.40015,0.18779,1.67723,1.14031,1.28887,0.0010255,0.000993078,0.000993078
4,2496.63,1.72034,1.13203,1.29679,0.7613,0.39885,0.46561,0.22975,1.58106,1.0156,1.22345,0.0009901,0.0009901,0.0009901
5,3121.13,1.65502,1.07,1.26752,0.78405,0.42444,0.49156,0.24711,1.52449,0.95765,1.20842,0.0009868,0.0009868,0.0009868
6,3742.34,1.60469,1.02117,1.24421,0.78237,0.44261,0.49949,0.25656,1.48626,0.90836,1.19058,0.0009835,0.0009835,0.0009835
7,4361.05,1.55773,0.97516,1.22025,0.81481,0.46511,0.56804,0.2868,1.44706,0.86437,1.16646,0.0009802,0.0009802,0.0009802
8,4981.27,1.52392,0.93405,1.20366,0.80073,0.47977,0.57407,0.29851,1.43106,0.85171,1.15918,0.0009769,0.0009769,0.0009769
9,5601.16,1.49136,0.89925,1.18563,0.71877,0.52032,0.58163,0.30307,1.42849,0.83707,1.15607,0.0009736,0.0009736,0.0009736
10,6221.4,1.46817,0.87176,1.17619,0.8243,0.50819,0.61693,0.32474,1.38071,0.80721,1.13315,0.0009703,0.0009703,0.0009703
11,6844.68,1.44589,0.85596,1.16182,0.75951,0.54353,0.6243,0.3291,1.36263,0.78096,1.12118,0.000967,0.000967,0.000967
12,7465.77,1.4293,0.8426,1.15851,0.82525,0.49049,0.56529,0.29757,1.39972,0.80263,1.13519,0.0009637,0.0009637,0.0009637
13,8083.01,1.40732,0.81872,1.14421,0.82345,0.502,0.6349,0.33798,1.34652,0.75614,1.11607,0.0009604,0.0009604,0.0009604
14,8704.05,1.39481,0.80664,1.13864,0.71351,0.62267,0.67463,0.36059,1.33909,0.74721,1.10769,0.0009571,0.0009571,0.0009571
15,9327.88,1.39047,0.80108,1.14126,0.83936,0.52935,0.63705,0.34236,1.34191,0.75059,1.11075,0.0009538,0.0009538,0.0009538
16,9947.34,1.37059,0.79412,1.12864,0.69481,0.62203,0.66128,0.35396,1.32206,0.7551,1.1028,0.0009505,0.0009505,0.0009505
17,10566.7,1.3663,0.77951,1.12115,0.72225,0.6381,0.67832,0.3729,1.31437,0.73741,1.10248,0.0009472,0.0009472,0.0009472
18,11188.5,1.34706,0.76485,1.11758,0.74614,0.6546,0.69609,0.38754,1.3217,0.72863,1.09836,0.0009439,0.0009439,0.0009439
19,11811.3,1.3394,0.75379,1.11134,0.80384,0.58629,0.695,0.38286,1.29004,0.69472,1.08877,0.0009406,0.0009406,0.0009406
20,12430,1.32985,0.74282,1.10718,0.74447,0.6129,0.70135,0.38853,1.30704,0.71586,1.09216,0.0009373,0.0009373,0.0009373
21,13052.9,1.31855,0.73982,1.10196,0.77864,0.66749,0.72717,0.40811,1.30011,0.71433,1.08737,0.000934,0.000934,0.000934
