epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1895.56,1.94583,1.39085,1.84986,0.85905,0.78927,0.87679,0.48532,1.52205,1.02794,1.65481,0.0670107,0.000333226,0.000333226
2,3779.38,1.58069,1.00794,1.5788,0.89346,0.79117,0.89442,0.52806,1.43691,0.98972,1.61855,0.0340085,0.000664359,0.000664359
3,5849.01,1.4791,0.87825,1.51469,0.90996,0.86561,0.93665,0.56417,1.36288,0.76467,1.60843,0.00100405,0.000993293,0.000993293
4,8488.4,1.44053,0.80976,1.49338,0.92535,0.88444,0.94894,0.58498,1.326,0.69877,1.56247,0.0009901,0.0009901,0.0009901
5,11133.4,1.39669,0.75923,1.47355,0.93281,0.89861,0.9557,0.59094,1.31511,0.67134,1.56535,0.0009868,0.0009868,0.0009868
6,13515.7,1.37378,0.72544,1.46097,0.93872,0.89873,0.95937,0.60599,1.2778,0.62528,1.54028,0.0009835,0.0009835,0.0009835
7,15434.3,1.35141,0.69485,1.4491,0.93856,0.91219,0.9621,0.60979,1.26213,0.59272,1.54568,0.0009802,0.0009802,0.0009802
8,17345.8,1.32769,0.67457,1.43306,0.93943,0.92295,0.9674,0.62205,1.2533,0.57014,1.52796,0.0009769,0.0009769,0.0009769
9,19247.2,1.31618,0.65755,1.43163,0.94191,0.91974,0.96719,0.62148,1.25021,0.56734,1.52992,0.0009736,0.0009736,0.0009736
10,21144.7,1.30993,0.64862,1.42674,0.93934,0.92853,0.97045,0.62366,1.24269,0.55503,1.52581,0.0009703,0.0009703,0.0009703
11,23046.9,1.29926,0.63301,1.41584,0.93949,0.92722,0.96754,0.63353,1.22293,0.55553,1.5013,0.000967,0.000967,0.000967
12,24952.3,1.2804,0.62371,1.40943,0.94261,0.93217,0.96969,0.632,1.21555,0.54074,1.51438,0.0009637,0.0009637,0.0009637
13,26844.8,1.28706,0.6197,1.4182,0.93856,0.93304,0.9715,0.64065,1.19838,0.53821,1.49655,0.0009604,0.0009604,0.0009604
14,28740.1,1.27052,0.60573,1.40663,0.93871,0.93387,0.97092,0.64056,1.20179,0.5191,1.49795,0.0009571,0.0009571,0.0009571
15,30624.9,1.26573,0.59845,1.40529,0.94704,0.93589,0.97382,0.64236,1.21438,0.51656,1.50066,0.0009538,0.0009538,0.0009538
16,32514.6,1.25065,0.59118,1.39202,0.94469,0.93945,0.97421,0.6436,1.19063,0.5092,1.49006,0.0009505,0.0009505,0.0009505
17,34410.4,1.25156,0.58238,1.39807,0.94778,0.9373,0.97379,0.6522,1.18179,0.50496,1.48618,0.0009472,0.0009472,0.0009472
18,36311.6,1.23518,0.57873,1.38677,0.9479,0.93731,0.97592,0.65395,1.17647,0.49624,1.47875,0.0009439,0.0009439,0.0009439
19,38217.2,1.23055,0.57256,1.38433,0.94381,0.93529,0.97301,0.64941,1.1849,0.50157,1.48579,0.0009406,0.0009406,0.0009406
20,40116.3,1.22361,0.56986,1.37639,0.94777,0.94138,0.97534,0.65711,1.17898,0.48848,1.47356,0.0009373,0.0009373,0.0009373
21,42024.6,1.21518,0.5554,1.36829,0.94704,0.94687,0.97642,0.65945,1.17742,0.48224,1.47661,0.000934,0.000934,0.000934
22,43923.5,1.21447,0.55379,1.3752,0.94696,0.94741,0.97738,0.66578,1.16887,0.46974,1.46966,0.0009307,0.0009307,0.0009307
23,45815.6,1.21311,0.55374,1.37221,0.9419,0.94699,0.9763,0.66241,1.16951,0.47875,1.47167,0.0009274,0.0009274,0.0009274
24,47708.8,1.19967,0.54415,1.36349,0.94715,0.94251,0.97715,0.66838,1.16434,0.47126,1.46508,0.0009241,0.0009241,0.0009241
25,49611,1.19543,0.54322,1.36203,0.95236,0.94491,0.97737,0.6672,1.15615,0.46167,1.46676,0.0009208,0.0009208,0.0009208
26,51511.6,1.19187,0.53719,1.36035,0.94192,0.95132,0.97707,0.66704,1.1609,0.4612,1.46658,0.0009175,0.0009175,0.0009175
27,53411.8,1.18099,0.5305,1.35413,0.94899,0.94975,0.97752,0.67117,1.15664,0.46364,1.45967,0.0009142,0.0009142,0.0009142
28,55317.4,1.18108,0.53097,1.35128,0.94631,0.94657,0.9765,0.66805,1.15892,0.46337,1.46274,0.0009109,0.0009109,0.0009109
29,57218.8,1.18187,0.52683,1.35862,0.94752,0.94963,0.97815,0.67537,1.14865,0.45733,1.45228,0.0009076,0.0009076,0.0009076
30,59124.5,1.17176,0.52106,1.34686,0.948,0.94657,0.97704,0.67276,1.15206,0.45377,1.45775,0.0009043,0.0009043,0.0009043
31,61025.4,1.17319,0.52206,1.34638,0.94657,0.95156,0.9795,0.67624,1.14165,0.45085,1.44802,0.000901,0.000901,0.000901
32,62930.3,1.16687,0.51576,1.34263,0.94943,0.95184,0.97923,0.67592,1.14551,0.44567,1.45078,0.0008977,0.0008977,0.0008977
33,64830.2,1.16112,0.50714,1.34029,0.95025,0.95025,0.98035,0.68162,1.14453,0.44443,1.44577,0.0008944,0.0008944,0.0008944
34,66728.3,1.15103,0.50912,1.33215,0.94964,0.9515,0.97955,0.68272,1.13583,0.44273,1.44033,0.0008911,0.0008911,0.0008911
35,68624.5,1.1508,0.50943,1.33785,0.94631,0.9569,0.9807,0.6847,1.13428,0.43851,1.44216,0.0008878,0.0008878,0.0008878
36,70527.5,1.14324,0.50177,1.33167,0.94864,0.9537,0.98147,0.68488,1.137,0.43612,1.44479,0.0008845,0.0008845,0.0008845
37,72434.2,1.13157,0.49971,1.32469,0.95274,0.95061,0.98133,0.68634,1.1357,0.43356,1.4398,0.0008812,0.0008812,0.0008812
38,74338.4,1.14211,0.49883,1.33124,0.94908,0.95376,0.98205,0.68491,1.13564,0.43111,1.43786,0.0008779,0.0008779,0.0008779
39,76240.8,1.12759,0.49402,1.31932,0.95364,0.95168,0.98111,0.68706,1.13759,0.42902,1.43971,0.0008746,0.0008746,0.0008746
40,78148.3,1.12426,0.4923,1.32187,0.9512,0.95655,0.98152,0.68773,1.13938,0.42945,1.44129,0.0008713,0.0008713,0.0008713
