epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.595,2.70561,2.25653,2.03869,0.40303,0.25533,0.21069,0.1042,1.95501,1.78072,1.54218,0.0670393,0.000332937,0.000332937
2,1050.56,1.90449,1.47995,1.48733,0.45434,0.29669,0.31429,0.15134,1.73606,1.32992,1.37557,0.0340371,0.000664071,0.000664071
3,1571.91,1.69368,1.27973,1.36297,0.51898,0.36419,0.35174,0.18498,1.56876,1.23456,1.2979,0.00103269,0.000993006,0.000993006
4,2092.21,1.56376,1.14251,1.29049,0.56828,0.40065,0.40531,0.22063,1.46228,1.1006,1.22296,0.0009901,0.0009901,0.0009901
5,2613.39,1.48812,1.05827,1.24344,0.59353,0.40997,0.44872,0.26478,1.38936,0.99852,1.19545,0.0009868,0.0009868,0.0009868
6,3135.25,1.42102,0.99278,1.21811,0.65244,0.46063,0.50329,0.2938,1.34244,0.90705,1.16113,0.0009835,0.0009835,0.0009835
7,3655.05,1.37675,0.94671,1.18737,0.67859,0.47929,0.51627,0.3158,1.26302,0.83431,1.12738,0.0009802,0.0009802,0.0009802
8,4173.75,1.32912,0.89047,1.16158,0.70693,0.49656,0.5454,0.32692,1.25716,0.82778,1.11884,0.0009769,0.0009769,0.0009769
9,4694.69,1.29053,0.8583,1.14684,0.69222,0.50207,0.57894,0.34699,1.23541,0.78115,1.10515,0.0009736,0.0009736,0.0009736
10,5214.54,1.26472,0.84418,1.13513,0.72519,0.49911,0.57857,0.35791,1.20545,0.7888,1.09071,0.0009703,0.0009703,0.0009703
11,5735.8,1.22387,0.786,1.11256,0.73994,0.52093,0.58205,0.34857,1.20104,0.75164,1.08898,0.000967,0.000967,0.000967
12,6251.53,1.20948,0.77931,1.11088,0.68585,0.56713,0.60047,0.3632,1.20125,0.7709,1.08755,0.0009637,0.0009637,0.0009637
13,6772.07,1.19901,0.76788,1.10457,0.76865,0.54931,0.62914,0.39157,1.17963,0.72385,1.07453,0.0009604,0.0009604,0.0009604
14,7291.87,1.1743,0.74196,1.08199,0.76763,0.54406,0.63529,0.39915,1.14286,0.70498,1.06339,0.0009571,0.0009571,0.0009571
15,7810.49,1.1522,0.72231,1.0806,0.75651,0.57215,0.64476,0.4039,1.14536,0.67239,1.05947,0.0009538,0.0009538,0.0009538
16,8330.23,1.13133,0.70871,1.07067,0.77412,0.58757,0.65398,0.40958,1.11409,0.66397,1.04965,0.0009505,0.0009505,0.0009505
17,8848.77,1.12108,0.69306,1.06715,0.77822,0.60149,0.68075,0.42773,1.10347,0.64311,1.03982,0.0009472,0.0009472,0.0009472
18,9365.66,1.11153,0.67888,1.05998,0.79927,0.5986,0.67928,0.43446,1.09202,0.63748,1.03827,0.0009439,0.0009439,0.0009439
19,9885.27,1.09436,0.66565,1.05123,0.79107,0.60309,0.66894,0.43013,1.07818,0.63075,1.03484,0.0009406,0.0009406,0.0009406
20,10400.4,1.09138,0.66274,1.05087,0.80264,0.61487,0.70491,0.44687,1.08569,0.61466,1.03642,0.0009373,0.0009373,0.0009373
21,10919.6,1.07316,0.6496,1.04482,0.78432,0.63268,0.70803,0.44855,1.08658,0.62311,1.03436,0.000934,0.000934,0.000934
22,11439.1,1.07404,0.63846,1.04328,0.79821,0.65453,0.71815,0.45444,1.07488,0.60789,1.03204,0.0009307,0.0009307,0.0009307
